alpha cl cd cm:
  85.0  0.20317  1.27698 -0.32246
  86.0  0.16283  1.27836 -0.32165
  87.0  0.12230  1.27936 -0.32100
  88.0  0.08161  1.27996 -0.32051
  89.0  0.04083  1.28018 -0.32017
  90.0 -0.00000  1.28000 -0.32000
  91.0 -0.04083  1.28018 -0.32017
  92.0 -0.08162  1.27996 -0.32051
  93.0 -0.12230  1.27936 -0.32100
  94.0 -0.16283  1.27836 -0.32165
  95.0 -0.20317  1.27698 -0.32246
  96.0 -0.24326  1.27521 -0.32341
  97.0 -0.28305  1.27305 -0.32451
  98.0 -0.32250  1.27050 -0.32575
  99.0 -0.36155  1.26757 -0.32713
 100.0 -0.40016  1.26424 -0.32863
 101.0 -0.43829  1.26054 -0.33025
 102.0 -0.47588  1.25645 -0.33198
 103.0 -0.51289  1.25197 -0.33382
 104.0 -0.54928  1.24712 -0.33574
 105.0 -0.58500  1.24188 -0.33774
 106.0 -0.62001  1.23627 -0.33982
 107.0 -0.65426  1.23028 -0.34195
 108.0 -0.68771  1.22392 -0.34413
 109.0 -0.72032  1.21718 -0.34635
 110.0 -0.75206  1.21007 -0.34858
 111.0 -0.78288  1.20260 -0.35082
 112.0 -0.81275  1.19476 -0.35306
